service_id,date,exception_type
20172011multiint-1111100,20170808,1
20172011multiint-1111100,20170809,1
20172011multiint-0001100,20170810,1
20172011multiint-1111100,20170810,1
20172011multiint-0000100,20170811,1
20172011multiint-0001100,20170811,1
20172011multiint-1111100,20170811,1
20172511multiint-0000010,20170812,1
20172611multiint-0000001,20170813,1
20172011multiint-1111100,20170814,1
20172011multiint-1111100,20170815,1
20172011multiint-1111100,20170816,1
20172011multiint-0001100,20170817,1
20172011multiint-1111100,20170817,1
20172011multiint-0000100,20170818,1
20172011multiint-0001100,20170818,1
20172011multiint-1111100,20170818,1
20173511multiint-0000010,20170819,1
20173611multiint-0000001,20170820,1
20173011multiint-1111100,20170821,1
20173011multiint-1111100,20170822,1
20173011multiint-1111100,20170823,1
20173011multiint-0001100,20170824,1
20173011multiint-1111100,20170824,1
20173011multiint-0000100,20170825,1
20173011multiint-0001100,20170825,1
20173011multiint-1111100,20170825,1
20173511multiint-0000010,20170826,1
20173611multiint-0000001,20170827,1
20173011multiint-1111100,20170828,1
20173011multiint-1111100,20170829,1
20173011multiint-1111100,20170830,1
20173011multiint-0001100,20170831,1
20173011multiint-1111100,20170831,1
20173011multiint-0000100,20170901,1
20173011multiint-0001100,20170901,1
20173011multiint-1111100,20170901,1
20173511multiint-0000010,20170902,1
20173611multiint-0000001,20170903,1
20173611multiint-0000001,20170904,1
20173012multiint-1111100,20170905,1
20173012multiint-1111100,20170906,1
20173012multiint-0001100,20170907,1
20173012multiint-1111100,20170907,1
20173012multiint-0000100,20170908,1
20173012multiint-0001100,20170908,1
20173012multiint-1111100,20170908,1
20173511multiint-0000010,20170909,1
20173611multiint-0000001,20170910,1
20173012multiint-1111100,20170911,1
20173012multiint-1111100,20170912,1
20173012multiint-1111100,20170913,1
20173012multiint-0001100,20170914,1
20173012multiint-1111100,20170914,1
20173012multiint-0000100,20170915,1
20173012multiint-0001100,20170915,1
20173012multiint-1111100,20170915,1
20173511multiint-0000010,20170916,1
20173611multiint-0000001,20170917,1
20173012multiint-1111100,20170918,1
20173012multiint-1111100,20170919,1
20173012multiint-1111100,20170920,1
20173012multiint-0001100,20170921,1
20173012multiint-1111100,20170921,1
20173012multiint-0000100,20170922,1
20173012multiint-0001100,20170922,1
20173012multiint-1111100,20170922,1
20173511multiint-0000010,20170923,1
20173611multiint-0000001,20170924,1
20173012multiint-1111100,20170925,1
20173012multiint-1111100,20170926,1
20173012multiint-1111100,20170927,1
20173012multiint-0001100,20170928,1
20173012multiint-1111100,20170928,1
20173012multiint-0000100,20170929,1
20173012multiint-0001100,20170929,1
20173012multiint-1111100,20170929,1
20173511multiint-0000010,20170930,1
20173611multiint-0000001,20171001,1
20173012multiint-1111100,20171002,1
20173012multiint-1111100,20171003,1
20173012multiint-1111100,20171004,1
20173012multiint-0001100,20171005,1
20173012multiint-1111100,20171005,1
20173012multiint-0000100,20171006,1
20173012multiint-0001100,20171006,1
20173012multiint-1111100,20171006,1
20173511multiint-0000010,20171007,1
20173611multiint-0000001,20171008,1
20173512multiint-0000010,20171009,1
20173012multiint-1111100,20171010,1
20173012multiint-1111100,20171011,1
20173012multiint-0001100,20171012,1
20173012multiint-1111100,20171012,1
20173012multiint-0000100,20171013,1
20173012multiint-0001100,20171013,1
20173012multiint-1111100,20171013,1
20173511multiint-0000010,20171014,1
20173611multiint-0000001,20171015,1
20173012multiint-1111100,20171016,1
20173012multiint-1111100,20171017,1
20173012multiint-1111100,20171018,1
20173012multiint-0001100,20171019,1
20173012multiint-1111100,20171019,1
20173012multiint-0000100,20171020,1
20173012multiint-0001100,20171020,1
20173012multiint-1111100,20171020,1
20173511multiint-0000010,20171021,1
20173611multiint-0000001,20171022,1
20173012multiint-1111100,20171023,1
20173012multiint-1111100,20171024,1
20173012multiint-1111100,20171025,1
20173012multiint-0001100,20171026,1
20173012multiint-1111100,20171026,1
20173012multiint-0000100,20171027,1
20173012multiint-0001100,20171027,1
20173012multiint-1111100,20171027,1
20173511multiint-0000010,20171028,1
20173611multiint-0000001,20171029,1
20173012multiint-1111100,20171030,1
20173012multiint-1111100,20171031,1
20173012multiint-1111100,20171101,1
20173012multiint-0001100,20171102,1
20173012multiint-1111100,20171102,1
20173012multiint-0000100,20171103,1
20173012multiint-0001100,20171103,1
20173012multiint-1111100,20171103,1
20173511multiint-0000010,20171104,1
20173611multiint-0000001,20171105,1
20173012multiint-1111100,20171106,1
20173012multiint-1111100,20171107,1
20173012multiint-1111100,20171108,1
20173012multiint-0001100,20171109,1
20173012multiint-1111100,20171109,1
20173012multiint-0000100,20171110,1
20173012multiint-0001100,20171110,1
20173012multiint-1111100,20171110,1
20173511multiint-0000010,20171111,1
20173611multiint-0000001,20171112,1
20173012multiint-1111100,20171113,1
20173012multiint-1111100,20171114,1
20173012multiint-1111100,20171115,1
20173012multiint-0001100,20171116,1
20173012multiint-1111100,20171116,1
20173012multiint-0000100,20171117,1
20173012multiint-0001100,20171117,1
20173012multiint-1111100,20171117,1
20173511multiint-0000010,20171118,1
20173611multiint-0000001,20171119,1
20173012multiint-1111100,20171120,1
20173012multiint-1111100,20171121,1
20173012multiint-1111100,20171122,1
20173012multiint-0001100,20171123,1
20173012multiint-1111100,20171123,1
20173012multiint-0000100,20171124,1
20173012multiint-0001100,20171124,1
20173012multiint-1111100,20171124,1
20173511multiint-0000010,20171125,1
20173611multiint-0000001,20171126,1
20173012multiint-1111100,20171127,1
20173012multiint-1111100,20171128,1
20173012multiint-1111100,20171129,1
