route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
980360,20173611multiint-0000001,54434324-20173611multiint-0000001,"Station des Roses (Nord)",,0,,03600141,1
980360,20173611multiint-0000001,54434309-20173611multiint-0000001,"Place Jacques-Cartier (Sud)",,1,,03600120,1
980360,20173611multiint-0000001,54434322-20173611multiint-0000001,"Station des Roses (Nord)",,0,,03600141,1
980360,20173611multiint-0000001,54434307-20173611multiint-0000001,"Place Jacques-Cartier (Sud)",,1,,03600120,1
980770,20173611multiint-0000001,54433034-20173611multiint-0000001,"Terminus Les Saules (Sud)",,1,,07700238,1
988034,20173611multiint-0000001,54432307-20173611multiint-0000001,"Terminus Beauport (Est)",,0,,80340337,1
988034,20173611multiint-0000001,54432314-20173611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340336,1
988034,20173611multiint-0000001,54432319-20173611multiint-0000001,"Terminus Beauport (Est)",,0,,80340337,1
988034,20173611multiint-0000001,54432326-20173611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340336,1
988034,20173611multiint-0000001,54432331-20173611multiint-0000001,"Terminus Beauport (Est)",,0,,80340337,1
988034,20173611multiint-0000001,54432338-20173611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340336,1
988034,20173611multiint-0000001,54432343-20173611multiint-0000001,"Terminus Beauport (Est)",,0,,80340337,1
988034,20173611multiint-0000001,54432350-20173611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340336,1
988034,20173611multiint-0000001,54432353-20173611multiint-0000001,"Terminus Beauport (Est)",,0,,80340337,1
980750,20173611multiint-0000001,54432810-20173611multiint-0000001,"Sainte-Foy Centre (Sud)",,1,,07500221,1
980750,20173611multiint-0000001,54432815-20173611multiint-0000001,"Loretteville (Nord)",,0,,07500220,1
980750,20173611multiint-0000001,54432818-20173611multiint-0000001,"Sainte-Foy Centre (Sud)",,1,,07500221,1
980750,20173611multiint-0000001,54432823-20173611multiint-0000001,"Loretteville (Nord)",,0,,07500220,1
980750,20173611multiint-0000001,54432826-20173611multiint-0000001,"Sainte-Foy Centre (Sud)",,1,,07500221,1
980010,20173611multiint-0000001,54433637-20173611multiint-0000001,"Station Belvédère (Nord)",,0,,00100326,1
980010,20173611multiint-0000001,54433612-20173611multiint-0000001,"Gare fluviale / Cap-Blanc (Sud)",,1,,00100357,1
980010,20173611multiint-0000001,54433640-20173611multiint-0000001,"Station Belvédère (Nord)",,0,,00100326,1
980010,20173611multiint-0000001,54433615-20173611multiint-0000001,"Gare fluviale / Cap-Blanc (Sud)",,1,,00100357,1
980010,20173611multiint-0000001,54433643-20173611multiint-0000001,"Station Belvédère (Nord)",,0,,00100326,1
980010,20173611multiint-0000001,54433618-20173611multiint-0000001,"Gare fluviale / Cap-Blanc (Sud)",,1,,00100357,1
980110,20173611multiint-0000001,54432151-20173611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,01100584,1
980110,20173611multiint-0000001,54432118-20173611multiint-0000001,"Gare fluviale (Est)",,0,,01100587,1
980110,20173611multiint-0000001,54432155-20173611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,01100584,1
980110,20173611multiint-0000001,54432122-20173611multiint-0000001,"Gare fluviale (Est)",,0,,01100587,1
980110,20173611multiint-0000001,54432159-20173611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,01100584,1
980110,20173611multiint-0000001,54432126-20173611multiint-0000001,"Gare fluviale (Est)",,0,,01100587,1
980110,20173611multiint-0000001,54624506-20173611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,01100586,1
980770,20173611multiint-0000001,54433052-20173611multiint-0000001,"Terminus Les Saules (Sud)",,1,,07700238,1
